splunk-add-on-for-apache-web-server,Splunk_TA_apache,internal,"Splunk Add-on for Apache",main
splunk-add-on-for-bromium,Splunk_TA_bromium,internal,"Splunk Add-on for Bromium",main
splunk-add-on-for-carbon-black,Splunk_TA_bit9-carbonblack,internal,"Splunk Add-on for Carbon Black",main
splunk-add-on-for-cisco-asa,Splunk_TA_cisco-asa,internal,"Splunk Add-on for Cisco ASA",main
splunk-add-on-for-cisco-esa,Splunk_TA_cisco-esa,internal,"Splunk Add-on for Cisco ESA",main
splunk-add-on-for-cisco-identity-services,Splunk_TA_cisco-ise,internal,"Splunk Add-on for Cisco ISE",main
splunk-add-on-for-cisco-ucs,Splunk_TA_cisco-ucs,internal,"Splunk Add-on for Cisco UCS",main
splunk-add-on-for-cisco-wsa,Splunk_TA_cisco-wsa,internal,"Splunk Add-on for Cisco WSA",main
splunk-add-on-for-cyberark,Splunk_TA_cyberark,internal,"Splunk Add-on for CyberArk",main
splunk-add-on-for-forcepoint-web-security,Splunk_TA_websense-cg,internal,"Splunk Add-on for Forcepoint Web Security",main
splunk-add-on-for-haproxy,Splunk_TA_haproxy,internal,"Splunk Add-on for HAProxy",main
splunk-add-on-for-ibm-websphere-application-server,Splunk_TA_ibm-was,internal,"Splunk Add-on for IBM WebSphere Application Server",main
splunk-add-on-for-imperva-securesphere-waf,Splunk_TA_imperva-waf,internal,"Splunk Add-on for Imperva SecureSphere WAF",main
splunk-add-on-for-infoblox,Splunk_TA_infoblox,internal,"Splunk Add-on for Infoblox",main
splunk-add-on-for-isc-bind,Splunk_TA_isc-bind,internal,"Splunk Add-on for ISC BIND",main
splunk-add-on-for-isc-dhcp,Splunk_TA_isc-dhcp,internal,"Splunk Add-on for ISC DHCP",main
splunk-add-on-for-jboss,Splunk_TA_jboss,internal,"Splunk Add-on for JBoss",main
splunk-add-on-for-juniper,Splunk_TA_juniper,internal,"Splunk Add-on for Juniper",main
splunk-add-on-for-linux,Splunk_TA_linux,internal,"Splunk Add-on for Linux",main
splunk-add-on-for-mcafee-epo-syslog,Splunk_TA_mcafee_epo_syslog,internal,"Splunk Add-on for McAfee EPO Syslog",main
splunk-add-on-for-mcafee-web-gateway,Splunk_TA_mcafee-wg,internal,"Splunk Add-on for McAfee Web Gateway",main
splunk-add-on-for-microsoft-hyper-v,Splunk_TA_microsoft-hyperv,internal,"Splunk Add-on for Microsoft Hyper-V",main
splunk-add-on-for-microsoft-iis,Splunk_TA_microsoft-iis,internal,"Splunk Add-on for Microsoft IIS",main
splunk-add-on-for-microsoft-sql-server,Splunk_TA_microsoft-sqlserver,internal,"Splunk Add-on for Microsoft SQL Server",main
splunk-add-on-for-mysql,Splunk_TA_mysql,internal,"Splunk Add-on for MySQL",main
splunk-add-on-for-nagios-core,Splunk_TA_nagios-core,internal,"Splunk Add-on for Nagios Core",main
splunk-add-on-for-nginx,Splunk_TA_nginx,internal,"Splunk Add-on for Nginx",main
splunk-add-on-for-oracle-database,Splunk_TA_oracle,internal,"Splunk Add-on for Oracle",main
splunk-add-on-for-ossec,Splunk_TA_ossec,internal,"Splunk Add-on for OSSEC",main
splunk-add-on-for-rsa-securid,Splunk_TA_rsa-securid,internal,"Splunk Add-on for RSA SecurID",main
splunk-add-on-for-sophos,Splunk_TA_sophos,internal,"Splunk Add-on for Sophos",main
splunk-add-on-for-squid-proxy,Splunk_TA_squid,internal,"Splunk Add-on for Squid Proxy",main
splunk-add-on-for-symantec-blue-coat-proxysg,Splunk_TA_bluecoat-proxysg,internal,"Splunk Add-on for Blue Coat ProxySG",main
splunk-add-on-for-symantec-dlp,Splunk_TA_symantec-dlp,internal,"Splunk Add-on for Symantec DLP",main
splunk-add-on-for-symantec-endpoint-protection,Splunk_TA_symantec-ep,internal,"Splunk Add-on for Symantec Endpoint Protection",main
splunk-add-on-for-tomcat,Splunk_TA_tomcat,internal,"Splunk Add-on for Tomcat",main
splunk-add-on-for-unix-and-linux,Splunk_TA_nix,internal,"Splunk Add-on for Unix and Linux",main
splunk-add-on-for-websense-dlp,Splunk_TA_websense-dlp,internal,"Splunk Add-on for Websense DLP",main
splunk-add-on-for-mcafee-nsp,Splunk_TA_mcafee_nsp,internal,"Splunk Add-on for McAfee NSP",main
splunk-add-on-for-checkpoint-log-exporter,Splunk_TA_checkpoint_log_exporter,internal,"Splunk Add-on for Checkpoint Log Exporter",main
splunk-add-on-for-cef,TA-cef-for-splunk,public,"TA CEF for Splunk",main
splunk-add-on-for-github-ta-testing,Splunk_TA_github-ta-testing,internal,"Splunk Add-on for Github TA testing",main
splunk-add-on-for-stream-wire-data,Splunk_TA_stream_wire_data,internal,"Splunk Add-on for Stream WireData",main
splunk-add-on-for-google-workspace,Splunk_TA_Google_Workspace,internal,"Splunk Add-on for Google Workspace",main
splunk-add-on-for-jira-cloud,Splunk_TA_jira-cloud,internal,"Splunk Add-on for Jira Cloud",main
splunk-add-on-for-palo-alto-networks,Splunk_TA_paloalto,internal,"Palo Alto Networks Add-on",main
splunk-add-on-for-fortinet-fortigate,Splunk_TA_fortinet_fortigate,internal,"Fortinet Fortigate Add-on for Splunk",main
splunk-add-on-for-microsoft-sysmon,Splunk_TA_microsoft_sysmon,internal,"Splunk Add-on for Sysmon",main
splunk-add-on-for-tenable,TA-tenable,internal,"Tenable Add-On for Splunk",main
splunk-add-on-for-dynatrace,Splunk_TA_Dynatrace,internal,Splunk_TA_Dynatrace,main
