splunk-add-on-for-box,Splunk_TA_box,internal,"Splunk Add-on for Box",main
splunk-add-on-for-citrix-netscaler,Splunk_TA_citrix-netscaler,internal,"Splunk Add-on for Citrix NetScaler",main
splunk-add-on-for-microsoft-cloud-services,Splunk_TA_microsoft-cloudservices,internal,"Splunk Add-on for Microsoft Cloud Services",main
splunk-add-on-for-salesforce,Splunk_TA_salesforce,internal,"Splunk Add-on for Salesforce",main
splunk-add-on-for-servicenow,Splunk_TA_snow,internal,"Splunk Add-on for ServiceNow",main
splunk-add-on-for-cyberark-epm,Splunk_TA_cyberark_epm,internal,Splunk Add-on for CyberArk EPM,main
splunk-add-on-for-rsa-securid,Splunk_TA_rsa-securid,internal,"Splunk Add-on for RSA SecurID",main
splunk-add-on-for-bmc-remedy,Splunk_TA_remedy,internal,"Splunk Add-on for BMC Remedy",main
splunk-add-on-for-google-cloud-platform,Splunk_TA_google-cloudplatform,internal,"Splunk Add-on for Google Cloud Platform",main
splunk-add-on-for-microsoft-office-365,splunk_ta_o365,internal,"Splunk Add-on for Microsoft Office 365",main
splunk-add-on-for-microsoft-system-center-operations-manager,Splunk_TA_microsoft-scom,internal,"Splunk Add-on for Microsoft SCOM",main
splunk-add-on-for-f5-big-ip,Splunk_TA_f5-bigip,internal,"Splunk Add-on for F5 BIG-IP",main
splunk-add-on-for-ucc-example,Splunk_TA_UCCExample,public,"Splunk_TA_UCCExample",main
splunk-add-on-for-cisco-meraki,Splunk_TA_cisco-meraki,internal,"Splunk Add-on for Cisco Meraki",main
